"","breed","parity","kgmilk","cellcount","cowid","InCalf"
"286","Friesian","2",7.1,271,"328390773","1"
"287","Guernsey","3",21.4,151,"328390778","1"
"288","Friesian","4",14.3,1574,"328390780","0"
"289","Friesian","2",23,78,"328390781","0"
"290","Friesian","2",19.9,78,"328390787","1"
"291","Friesian","2",14.3,470,"328390793","1"
"292","Friesian","2",24.3,473,"328390798","0"
"293","Friesian","2",22.5,15,"328390799","1"
"294","Friesian","2",11.3,786,"328390936","1"
"295","Friesian","1",11.8,75,"328390970","1"
"296","Friesian","2",18,97,"328390971","0"
"297","Friesian","1",4.9,370,"328390972","1"
"298","Friesian","2",12.1,117,"328390977","1"
"299","Friesian","2",20.6,780,"328390980","1"
"300","Friesian","2",6.3,185,"328391001","0"
"301","Friesian","1",14.4,420,"328391003","1"
"302","Friesian","2",28.9,94,"328391004","1"
"303","Friesian","2",31.6,2557,"328391006","1"
"304","Friesian","2",22.6,119,"328391008","1"
"305","Guernsey","1",19,50,"328391012","1"
"306","Guernsey","1",14,51,"328391013","0"
"307","Friesian","1",12.6,77,"328391014","1"
"308","Friesian","1",14.3,3936,"328391015","1"
"309","Friesian","1",20.7,77,"328391016","0"
"310","Friesian","1",15.9,81,"328391017","1"
"311","Friesian","1",24,35,"328391018","1"
"312","Friesian","1",19.5,124,"328391020","1"
"313","Friesian","1",19,2726,"328391021","1"
"314","Friesian","1",18.6,14,"328391024","1"
"315","Friesian","1",16.6,501,"328391027","1"
"316","Friesian","1",16,30,"328391029","1"
"317","Friesian","1",22.3,170,"328391030","0"
"318","Friesian","1",20.5,49,"328391032","0"
"319","Friesian","1",21.8,45,"328391033","0"
"320","Friesian","1",10.1,113,"328391034","0"
"321","Friesian","1",16.2,210,"328391035","1"
"322","Guernsey","1",21.3,27,"328391036","1"
"323","Friesian","1",20.1,90,"328391037","0"
"324","Friesian","2",17,115,"332380475","1"
"325","Friesian","2",23.4,97,"332380499","1"
"326","Friesian","1",13.3,205,"332380562","1"
"327","Friesian","1",14.5,5813,"332380576","1"
"328","Friesian","1",16.7,147,"332380578","1"
"329","Friesian","1",16.1,141,"339700185","1"
"330","Friesian","1",14.1,1068,"345380494","0"
"331","Friesian","3",12.7,224,"351540508","0"
"332","Guernsey","4",9.6,152,"354560688","0"
"333","Friesian","4",14,605,"354560698","1"
"334","Friesian","4",13.3,235,"354560702","1"
"335","Friesian","4",26.5,28,"354560716","0"
"336","Friesian","3",20,433,"354560739","0"
"337","Friesian","4",21.6,894,"354560740","0"
"338","Friesian","4",22.3,218,"354560754","1"
"339","Friesian","3",8.9,319,"354560763","1"
"340","Guernsey","3",20.9,139,"354560764","0"
"341","Friesian","3",19.6,78,"354560772","1"
"342","Friesian","3",20.3,340,"354560774","0"
"343","Friesian","3",19.2,119,"354560775","0"
"344","Friesian","3",16.4,181,"354560793","1"
"345","Friesian","2",6.9,342,"354560801","1"
"346","Friesian","3",17,181,"354560809","1"
"347","Friesian","2",20.6,64,"354560810","1"
"348","Friesian","3",29.7,323,"354560821","1"
"349","Friesian","2",13.7,389,"354560823","1"
"350","Friesian","2",18.2,102,"354560825","1"
"351","Friesian","2",18.1,114,"354560826","1"
"352","Friesian","2",17.3,151,"354560830","1"
"353","Friesian","2",28.9,20,"354560836","1"
"354","Friesian","2",27.5,18,"354560837","1"
"355","Friesian","2",28.7,207,"354560843","0"
"356","Friesian","2",14.9,36,"354560845","1"
"357","Friesian","2",32.6,81,"354560846","0"
"358","Friesian","1",23.2,290,"354560849","0"
"359","Friesian","2",21.4,52,"354560851","1"
"360","Friesian","2",8.2,304,"354560853","0"
"361","Friesian","2",10.8,425,"354560856","1"
"362","Friesian","2",15.7,467,"354560874","1"
"363","Friesian","1",16.1,26,"354560879","1"
"364","Friesian","1",17.9,16,"354560890","1"
"365","Friesian","1",13.2,377,"354560891","1"
"366","Friesian","2",27.1,580,"354560893","0"
"367","Friesian","2",16.5,146,"354560901","1"
"368","Friesian","1",16.9,37,"354560907","0"
"369","Friesian","1",14,21,"354560910","1"
"370","Friesian","1",17.6,17,"354560911","1"
"371","Friesian","1",13.7,36,"354560912","1"
"372","Friesian","1",7.9,58,"354560915","0"
"373","Friesian","1",18.3,22,"354560916","1"
"374","Friesian","1",14.3,351,"354560924","1"
"375","Friesian","1",21.4,11,"354560926","0"
"376","Friesian","1",14.6,137,"354560932","0"
"377","Friesian","1",19.5,297,"354560935","1"
"378","Friesian","1",14.1,237,"354560936","1"
"379","Friesian","1",14.4,115,"354560938","0"
"380","Friesian","1",12.8,15,"354560941","1"
"381","Friesian","1",16.9,123,"354560942","1"
"382","Friesian","1",13.3,103,"354560944","1"
"383","Friesian","1",14.4,805,"354560951","1"
"384","Friesian","1",22.1,48,"354560952","1"
"385","Friesian","1",19.8,93,"354560958","1"
"386","Friesian","1",17.9,14,"354560960","1"
"387","Friesian","1",16.9,89,"354560961","1"
"388","Friesian","1",11.8,28,"354560966","1"
"389","Friesian","2",14.2,21,"354590087","0"
"390","Holstein-Friesian","1",12.1,44,"354680623","0"
"391","Friesian","3",23.3,653,"369390516","0"
"392","Friesian","4",13.6,99,"385610879","1"
"393","Friesian","4",18,270,"400840131","1"
"394","Holstein-Friesian","6",29.4,260,"421260498","1"
"395","Holstein-Friesian","2",16.2,150,"421310407","1"
"396","Holstein-Friesian","3",15.2,100,"423790555","1"
"397","Holstein-Friesian","3",20.4,170,"423790573","0"
"398","Holstein-Friesian","2",14.4,300,"423790615","1"
"399","Holstein-Friesian","2",11.8,310,"423790621","1"
"400","Holstein-Friesian",NA,19.6,40,"423790725","0"
"401","Holstein-Friesian","1",15.4,40,"423790726","1"
"402","Friesian","5",25.6,30,"433690507","0"
"403","Guernsey","4",20.6,250,"433690547","1"
"404","Friesian","4",19.2,360,"433690554","0"
"405","Friesian","5",30,180,"433690564","1"
"406","Friesian","4",26.4,1160,"433690568","0"
"407","Friesian","2",19.8,300,"433690615","1"
"408","Guernsey","3",11,1420,"433690619","0"
"409","Friesian","4",25,3250,"433690620","1"
"410","Friesian","3",24.6,370,"433690644","1"
"411","Friesian","2",18.4,100,"433690646","1"
"412","Friesian","3",30.8,100,"433690653","1"
"413","Friesian","2",10.2,290,"433690657","1"
"414","Friesian","2",16.4,70,"433690662","0"
"415","Friesian","2",24.6,520,"433690674","1"
"416","Friesian","2",23.2,80,"433690681","1"
"417","Friesian","2",25.4,450,"433690682","1"
"418","Friesian","3",24.8,790,"433690687","1"
"419","Guernsey","2",16.8,40,"433690695","1"
"420","Friesian","2",21.2,510,"433690698","1"
"421","Friesian","2",21.4,590,"433690712","1"
"422","Guernsey","2",21.6,20,"433690714","1"
"423","Guernsey","2",18,2700,"433690722","1"
"424","Friesian","1",13.2,70,"433690724","0"
"425","Guernsey","1",9,80,"433690731","1"
"426","Guernsey","1",13.6,60,"433690742","1"
"427","Guernsey","1",17.6,280,"433690746","1"
"428","Guernsey","1",20.2,20,"433690750","0"
"429","Guernsey","2",19.2,460,"433690753","1"
"430","Guernsey","1",15.7,20,"433690754","1"
"431","Friesian","1",17.8,30,"433690755","0"
"432","Guernsey","1",15.8,750,"433690757","1"
"433","Friesian","1",16.2,100,"433690761","1"
"434","Guernsey","1",24.4,20,"433690764","0"
"435","Friesian","1",20.8,30,"433690767","1"
"436","Friesian","1",20.6,80,"433690780","1"
"437","Friesian","3",26,40,"433690785","1"
"438","Friesian","1",17.2,80,"433690790","1"
"439","Friesian","1",21.4,120,"433690809","0"
"440","Friesian","3",15,370,"433690810","1"
"441","Friesian","1",23.8,530,"433690825","1"
"442","Holstein-Friesian","5",27.4,10,"435170480","1"
"443","Holstein-Friesian","2",21.4,10,"435170579","0"
"444","Guernsey","1",18.2,5300,"439650705","1"
"445","Friesian","8",34,1070,"442440333","1"
"446","Friesian","8",30.8,40,"442440371","1"
"447","Friesian","6",29.4,120,"442440414","0"
"448","Friesian","5",22,110,"442440476","1"
"449","Guernsey","4",13.6,710,"442440491","0"
"450","Friesian","4",22.4,60,"442440506","0"
"451","Friesian","4",30,50,"442440511","1"
"452","Friesian","3",9.3,630,"442440516","1"
"453","Friesian","3",24.5,80,"442440519","0"
"454","Friesian","4",24,110,"442440525","1"
"455","Friesian","3",18.2,80,"442440534","0"
"456","Friesian","3",15.8,250,"442440541","1"
"457","Friesian","3",22.6,50,"442440549","1"
"458","Friesian","3",28.8,1090,"442440551","1"
"459","Friesian","3",23.4,110,"442440552","1"
"460","Friesian","3",21.2,160,"442440557","1"
"461","Friesian","2",13.8,230,"442440558","0"
"462","Friesian","3",39.1,90,"442440561","1"
"463","Friesian","3",25.6,40,"442440564","1"
"464","Friesian","2",13.3,240,"442440567","1"
"465","Friesian","2",19,480,"442440576","1"
"466","Guernsey","2",24.6,50,"442440579","1"
"467","Friesian","2",27.2,120,"442440587","1"
"468","Friesian","2",21.7,40,"442440592","1"
"469","Friesian","2",21.4,40,"442440596","1"
"470","Friesian","1",13.9,150,"442440622","1"
"471","Guernsey","1",21.4,30,"442440624","0"
"472","Friesian","1",19,160,"442440625","1"
"473","Friesian","1",9.9,170,"442440626","1"
"474","Friesian","1",21.2,80,"442440627","1"
"475","Friesian","1",19.7,40,"442440629","1"
"476","Friesian","1",23.2,40,"442440630","1"
"477","Friesian","1",18,110,"442440631","0"
"478","Guernsey","1",25,40,"442440632","1"
"479","Friesian","1",23.6,10,"442440633","1"
"480","Friesian","1",20.8,90,"442440634","0"
"481","Friesian","1",23.6,10,"442440635","1"
"482","Friesian","1",20.4,100,"442440637","0"
"483","Friesian","1",19,60,"442440638","1"
"484","Holstein-Friesian","1",14.4,550,"442580524","1"
"485","Holstein-Friesian","2",19.2,70,"451180055","1"
"486","Friesian","7",27.4,1020,"455260888","1"
"487","Friesian","6",17.8,410,"455260907","0"
"488","Friesian","6",21.9,8100,"455260932","1"
"489","Friesian","6",18.9,720,"455260982","1"
"490","Friesian","5",18.7,530,"455261056","1"
"491","Friesian","5",9.1,1130,"455261068","1"
"492","Friesian","5",19.7,260,"455261089","1"
"493","Friesian","5",11.8,180,"455261091","1"
"494","Friesian","5",29.3,30,"455261104","0"
"495","Friesian","5",23.2,40,"455261120","1"
"496","Friesian","5",24.2,130,"455261134","1"
"497","Friesian","5",30.8,50,"455261163","1"
"498","Friesian","4",18.8,90,"455261167","0"
"499","Friesian","3",4.1,1680,"455261170","0"
"500","Friesian","5",43.1,50,"455261171","1"
"501","Friesian","4",32.6,30,"455261198","0"
"502","Friesian","4",19.5,3330,"455261205","1"
"503","Friesian","4",25.4,680,"455261209","0"
"504","Friesian","4",31.1,190,"455261224","0"
"505","Friesian","4",24.9,1670,"455261237","1"
"506","Friesian","4",29.4,2340,"455261250","0"
"507","Friesian","3",13.8,720,"455261257","0"
"508","Friesian","4",22.8,3930,"455261261","1"
"509","Friesian","3",24.8,350,"455261293","1"
"510","Guernsey","4",23,130,"455261322","1"
"511","Guernsey","3",24.7,450,"455261325","1"
"512","Friesian","3",26.4,410,"455261343","1"
"513","Guernsey","3",10.9,130,"455261344","1"
"514","Guernsey","3",22.1,160,"455261358","0"
"515","Friesian","3",25.8,30,"455261361","1"
"516","Guernsey","3",25,140,"455261363","0"
"517","Friesian","3",20.8,60,"455261367","1"
"518","Guernsey","3",28.6,540,"455261376","0"
"519","Guernsey","3",27,40,"455261378","1"
"520","Guernsey","3",25.8,30,"455261381","1"
"521","Guernsey","2",20,260,"455261383","1"
"522","Friesian","3",21.3,620,"455261385","1"
"523","Guernsey","3",22.1,1670,"455261390","1"
"524","Guernsey","3",24,340,"455261392","1"
"525","Guernsey","2",22.9,180,"455261400","1"
"526","Guernsey","2",22.7,150,"455261405","1"
"527","Guernsey","2",4.8,1620,"455261406","1"
"528","Guernsey","3",22.7,1150,"455261408","0"
"529","Guernsey","2",19.6,70,"455261411","0"
"530","Friesian","2",11.2,150,"455261414","0"
"531","Guernsey","2",21.8,770,"455261415","1"
"532","Guernsey","3",26.9,90,"455261419","1"
"533","Guernsey","2",19.4,140,"455261422","1"
"534","Guernsey","3",24.8,60,"455261426","1"
"535","Guernsey","2",20,70,"455261428","1"
"536","Guernsey","2",25.9,70,"455261435","1"
"537","Guernsey","2",28.1,20,"455261441","1"
"538","Guernsey","2",27.2,20,"455261442","1"
"539","Guernsey","2",17.9,20,"455261444","1"
"540","Guernsey","2",17.5,30,"455261445","1"
"541","Guernsey","2",15.4,1000,"455261446","0"
"542","Guernsey","2",31.3,10,"455261448","0"
"543","Guernsey","2",29.8,460,"455261449","1"
"544","Guernsey","2",24.7,70,"455261452","1"
"545","Guernsey","2",13.4,610,"455261454","1"
"546","Guernsey","2",18.4,50,"455261457","1"
"547","Guernsey","2",20.7,200,"455261458","0"
"548","Guernsey","2",22.5,60,"455261464","0"
"549","Guernsey","2",19,1790,"455261473","1"
"550","Guernsey","2",25.7,70,"455261477","1"
"551","Guernsey","2",18.8,3370,"455261480","0"
"552","Guernsey","2",26.6,1060,"455261483","1"
"553","Guernsey","2",26.7,50,"455261484","0"
"554","Guernsey","2",23.5,950,"455261486","0"
"555","Guernsey","1",7.5,490,"455261492","1"
"556","Guernsey","2",28.7,50,"455261501","1"
"557","Guernsey","2",28.2,80,"455261508","1"
"558","Guernsey","2",27.5,400,"455261509","0"
"559","Guernsey","2",17.7,200,"455261512","0"
"560","Guernsey","2",23,120,"455261515","1"
"561","Guernsey","2",25,20,"455261518","1"
"562","Guernsey","1",20.9,10,"455261522","1"
"563","Guernsey","1",17,40,"455261525","1"
"564","Guernsey","1",21.7,10,"455261526","1"
"565","Guernsey","2",26.2,30,"455261528","1"
"566","Guernsey","1",16.4,50,"455261537","1"
"567","Guernsey","1",17.2,240,"455261539","0"
"568","Guernsey","2",19.4,130,"455261541","1"
"569","Guernsey","1",17.4,120,"455261547","1"
"570","Guernsey","1",11.5,170,"455261548","0"
"571","Guernsey","1",15.6,90,"455261557","1"
"572","Guernsey","1",7.5,40,"455261564","1"
"573","Guernsey","1",14.1,30,"455261569","1"
"574","Guernsey","1",17.3,270,"455261571","1"
"575","Guernsey","1",21.1,170,"455261572","1"
"576","Guernsey","1",14.2,20,"455261579","1"
"577","Guernsey","1",22.8,10,"455261580","0"
"578","Guernsey","1",15.4,30,"455261586","1"
"579","Guernsey","1",21.9,50,"455261599","1"
"580","Guernsey","1",24,30,"455261603","1"
"581","Guernsey","1",15.2,250,"455261611","1"
"582","Guernsey","1",24.4,70,"455261612","1"
"583","Guernsey","1",22.3,220,"455261616","1"
"584","Guernsey","1",11.5,90,"455261618","0"
"585","Guernsey","1",24.2,30,"455261622","1"
"586","Guernsey","1",21.4,40,"455261623","1"
"587","Guernsey","1",20.8,10,"455261624","1"
"588","Guernsey","1",16.4,150,"455261628","1"
"589","Guernsey","1",25.4,70,"455261632","0"
"590","Guernsey","1",28.2,40,"455261639","1"
"591","Friesian","1",18,360,"455261642","1"
"592","Guernsey","1",16.2,30,"455261645","1"
"593","Guernsey","1",22.2,20,"455261646","0"
"594","Guernsey","1",19.7,0,"455261647","1"
"595","Guernsey","1",23.1,0,"455261650","1"
"596","Friesian","5",26,640,"25930370","1"
"597","Holstein-Friesian","4",21.8,550,"25930381","1"
"598","Friesian","5",22.6,130,"57840463","1"
"599","Friesian","4",4.6,1520,"57840469","1"
"600","Guernsey","3",20.4,350,"57840496","1"
"601","Friesian","3",16.8,90,"57840499","1"
"602","Friesian","4",14,320,"57840503","1"
"603","Friesian","4",8.6,420,"57840504","1"
"604","Friesian","4",6.6,570,"57840506","0"
"605","Friesian","4",16.8,90,"57840517","0"
"606","Friesian","4",23.2,120,"57840518","1"
"607","Friesian","3",18.8,220,"57840551","1"
"608","Friesian","3",12.6,420,"57840554","0"
