breed,parity,kgmilk,cellcount,cowid,InCalf
2,3,31.6,944,112580564,1
2,2,14.2,155,112580572,1
2,3,22.6,167,112580578,1
2,2,14.8,175,112580582,1
1,2,19,261,112580585,1
2,3,28,190,112580592,0
2,3,22.8,3418,112580595,1
2,2,9.6,1613,112580597,0
2,3,32.8,240,112580599,1
2,2,21.8,544,112580687,1
2,2,19.8,193,112580688,1
2,2,21.8,696,112580689,1
2,2,13.2,312,112580703,1
2,2,30.4,262,112580706,1
2,2,18.8,155,112580707,1
2,2,32,438,112580708,0
2,2,14.6,184,112580709,1
2,2,31.2,536,112580710,0
2,2,26.8,67,112580711,1
2,2,22.2,108,112580712,0
2,1,20,190,112580766,1
8,1,17,33,112580767,1
2,1,20.4,2001,112580768,1
2,2,19,164,112580769,1
2,2,28.8,188,112580770,1
2,1,22.8,768,112580775,1
2,1,21.6,27,112580777,1
2,1,17.6,499,112580778,1
2,2,18.8,456,112580780,0
2,1,22.6,131,112580825,1
2,1,6,7977,112580828,1
2,1,16.4,154,112580830,1
2,1,23,189,112580834,1
2,1,25.4,62,112580835,1
2,1,24.4,330,112580838,1
2,1,24.6,43,112580842,1
2,1,29.2,39,112580843,0
2,1,23.6,162,112580845,1
2,1,25.3,60,112580847,1
8,1,21.6,703,112580848,1
2,1,21,37,112580849,0
2,1,24.8,19,112580850,1
2,1,17.8,467,112580851,0
8,1,28,160,112580854,0
2,1,21.6,47,112580856,1
2,1,12.8,221,112580857,1
2,1,30.8,79,112580859,1
8,1,27.8,269,112580862,1
2,1,8.8,132,112580863,1
2,1,18.7,170,112580864,1
2,1,28.6,98,112580878,0
2,1,28.4,119,112580880,1
2,2,17.2,152,112581006,1
2,1,12.1,480,113850785,0
2,1,21.6,52,117560061,1
8,5,27.2,154,117880586,1
8,4,12.6,305,117880621,1
8,4,18.6,364,117880635,1
8,4,22.8,49,117880639,1
8,4,24.4,81,117880643,1
8,4,22.6,3203,117880656,1
8,4,29,105,117880662,0
8,3,31.7,17,117880682,0
8,3,21.8,85,117880688,1
8,3,16,326,117880689,1
8,3,25.6,28,117880691,1
8,3,25.4,84,117880701,0
8,3,25.8,38,117880717,1
8,3,25,48,117880733,0
8,2,11.1,260,117880743,1
8,2,20.5,99,117880746,1
8,2,19.7,138,117880756,1
8,2,22.8,164,117880759,1
8,2,24.6,35,117880761,1
8,2,15.6,1698,117880762,1
8,2,12.5,110,117880763,1
8,2,22,23,117880764,1
8,2,24.9,37,117880765,1
8,2,26.6,20,117880774,0
8,2,23.5,21,117880779,0
8,1,6,185,117880780,0
8,2,27,126,117880783,1
8,1,16.8,257,117880792,1
8,1,15,27,117880795,1
8,1,18.6,69,117880796,1
8,1,15.1,377,117880799,1
8,1,17.2,125,117880804,0
8,1,16.5,162,117880808,0
8,1,14,44,117880811,1
8,1,19.8,37,117880814,1
8,1,20.2,31,117880816,1
8,1,18.4,37,117880817,1
8,1,16.7,20,117880820,1
8,1,19,63,117880832,1
8,1,17.6,1105,117880833,1
2,1,21,132,129990040,0
8,5,29.2,110,143030722,0
2,2,21.4,120,162420049,0
2,2,15,150,162420050,1
8,3,21,293,214080438,1
2,3,25.6,1878,222510873,0
2,3,33.8,44,223130107,1
2,3,21.4,88,265350815,1
8,3,22,317,292870819,1
2,6,35,290,293390424,1
2,3,22,295,294220487,0
2,2,22.4,60,303620653,1
2,1,21.6,20,316200527,0
2,2,20.3,108,318630045,0
2,6,21.5,1999,323720483,1
2,5,29.5,310,323720536,1
2,5,35.1,160,323720561,1
2,4,26.2,199,323720581,0
2,3,25.8,560,323720584,1
2,3,25.4,370,323720604,1
2,3,17.4,49,323720617,1
2,3,21.6,892,323720618,0
2,3,38.3,1128,323720629,1
2,3,34.7,848,323720633,1
2,3,33,121,323720634,1
2,2,29.2,228,323720638,0
2,2,24.2,144,323720658,1
2,1,16.3,1051,323720659,0
2,2,24.4,841,323720662,0
2,2,25.3,670,323720663,0
2,2,26.2,50,323720667,0
8,2,19,4247,323720668,0
2,2,28.4,64,323720703,1
2,1,7.1,483,323720705,1
2,2,25.2,42,323720706,1
2,1,19.2,36,323720711,0
2,1,23.2,327,323720712,1
2,1,17.5,3235,323720713,0
2,1,26.5,143,323720715,0
2,1,22.4,75,323720718,1
2,1,29.9,37,323720722,1
2,1,17.4,30,327430848,1
2,1,32.2,623,334260562,0
2,2,23.8,293,337640730,1
2,1,21.4,22,337640770,1
1,6,12.4,1035,349800510,1
1,6,25.8,659,349800512,1
1,5,24.8,857,349800605,0
1,4,20.6,291,349800616,1
1,4,14,249,349800623,1
1,4,27.8,1542,349800625,1
1,4,29.2,251,349800631,1
1,4,29.2,51,349800639,1
1,4,29.6,113,349800641,1
1,3,8.8,785,349800643,0
1,3,4.4,1030,349800644,1
1,3,28.2,147,349800647,1
1,3,16.8,1019,349800648,0
1,3,20.2,6247,349800650,1
1,3,16.6,98,349800651,1
1,3,21,145,349800652,1
1,3,22.2,580,349800653,1
1,3,21.4,1306,349800654,0
1,3,26.6,549,349800655,0
1,3,19,725,349800664,1
1,2,18,948,349800665,1
1,2,16.4,1025,349800666,1
1,2,21,629,349800668,1
1,2,19.6,55,349800670,0
1,2,19.8,505,349800671,1
1,2,17.8,324,349800672,0
1,1,13.4,220,349800673,1
1,1,14.4,105,349800674,1
1,2,23,67,349800678,0
1,2,9.4,446,349800679,1
1,2,18.6,242,349800681,0
1,2,20.8,48,349800682,1
1,2,26.8,202,349800684,1
1,1,15.4,15,349800687,1
1,1,15.4,20,349800688,0
1,1,15.8,31,349800689,0
1,1,17,73,349800690,1
1,1,18.6,88,349800691,1
1,1,8.8,496,349800692,1
1,1,16.4,62,349800693,0
1,1,13,556,349800694,1
1,1,17.8,497,349800695,1
1,1,18.4,113,349800696,1
1,1,20.8,110,349800697,1
1,1,20.6,121,349800699,0
1,1,18.4,15,349800700,1
1,1,20,22,349800801,0
1,1,20.8,16,349800802,1
1,1,24.2,35,349800803,0
1,1,14,216,349800804,0
1,1,17.2,51,349800805,1
1,1,14.6,85,349800806,1
1,1,20,3694,349800807,1
1,1,19.8,398,349800809,0
2,7,31.4,47,350690344,1
2,5,17,916,350690357,0
2,6,31,72,350690369,1
2,5,33.2,485,350690377,1
8,5,31,180,350690402,1
2,4,31.6,205,350690403,0
2,4,29.8,926,350690406,0
8,4,30.6,1513,350690415,1
2,3,19.4,1006,350690418,0
2,3,18,152,350690419,1
8,1,18.4,138,350690432,0
2,2,21,293,350690433,1
2,2,19.6,410,350690434,1
2,2,21.8,142,350690437,1
2,2,14.4,695,350690438,1
2,2,22.4,502,350690442,0
2,2,14.8,281,350690443,0
2,1,19.6,69,350690455,1
2,1,14.6,106,350690456,1
2,1,16.2,308,350690465,1
2,1,15.4,86,350690466,0
2,1,17.6,351,350690468,0
8,1,19.8,28,350690475,0
2,1,23.2,301,350690476,0
2,1,21.2,246,350690484,1
2,2,28.9,39,351580736,0
2,1,19.8,110,368560090,0
2,2,18.5,274,370360441,1
2,2,13.1,812,370360444,0
2,4,22,68,391750569,0
2,5,27.6,2161,411850844,1
2,2,20.2,221,428270032,1
2,6,16.4,310,439270605,1
2,3,16.8,952,440321295,0
2,2,18.6,305,440920039,1
2,3,31.4,2520,446420765,0
2,4,41.8,90,447400204,1
2,5,29.8,90,447400215,1
2,4,36.4,160,447400256,0
2,3,39.6,260,447400262,1
2,3,22.6,730,447400266,0
2,3,29.6,80,447400267,1
2,3,25.2,270,447400279,1
2,3,37.8,40,447400294,0
2,2,17.8,500,447400296,1
2,2,14,390,447400297,1
2,1,15.6,100,447400308,1
2,1,21.6,60,447400311,0
2,1,20.4,40,447400319,1
2,1,18.4,60,447400320,1
2,1,20.2,270,447400321,1
2,1,17.4,150,447400322,1
2,1,20,140,447400323,1
2,1,20.8,60,447400324,1
2,1,22.4,100,447400326,1
2,1,15.2,280,447400327,1
2,1,19.4,90,447400328,1
2,1,22.2,80,447400329,1
8,4,38.2,230,452201582,1
2,4,31,110,452201583,1
2,3,38,120,452201818,0
