breed,parity,kgmilk,cellcount,cowid,InCalf
1,3,25.4,40,83300664,1
1,2,8,1380,83300668,1
1,2,12.1,260,83300676,1
1,2,16.2,40,83300687,1
8,2,14,70,83300693,1
3,2,19.8,1,83300694,0
1,2,12,240,83300702,1
1,2,21.2,1100,83300703,1
1,2,28.2,160,83300708,1
8,2,26.8,40,83300710,1
1,2,22.8,70,83300712,1
1,2,31.1,150,83300715,0
3,2,22.4,1,83300721,1
1,2,26.6,10,83300723,0
1,1,22.5,860,83300724,1
3,1,18.2,10,83300729,0
3,1,4,200,83300730,1
1,2,29.5,170,83300735,0
1,1,17,1,83300736,1
3,2,22.1,1,83300738,0
1,1,10.5,130,83300742,0
1,1,13.2,80,83300743,1
3,1,11,20,83300750,0
1,1,23,160,83300751,1
3,2,21.4,50,83300752,0
3,1,7,90,83300753,1
1,1,20.1,70,83300759,1
1,1,18.8,100,83300766,1
1,1,24.6,20,83300770,0
1,1,27.2,10,83300776,0
3,1,18.1,10,83300781,1
3,1,16.3,70,83300782,0
3,1,20.3,150,83300783,1
1,1,23.3,10,83300786,1
1,1,20.1,1540,83300787,0
1,1,20.7,100,83300788,0
3,6,21.2,20,83360365,1
3,6,13.8,190,86430401,1
3,5,18.6,90,86430445,1
3,5,11.8,80,86430455,0
3,6,25.2,10,86430464,1
3,4,15.6,70,86430485,1
3,4,14.6,50,86430493,0
3,4,15.4,50,86430500,0
3,4,18,20,86430509,0
3,4,20.8,30,86430520,0
3,4,21.5,320,86430531,0
3,3,16.4,820,86430538,0
3,4,30.2,460,86430539,1
3,4,18,10,86430544,0
3,4,19.2,100,86430548,0
3,3,15.2,20,86430580,1
3,3,19,60,86430583,0
3,3,9.6,290,86430588,1
3,3,18.4,580,86430590,1
3,3,15,20,86430594,0
3,3,18.8,1,86430598,1
3,3,18.8,230,86430603,1
3,3,15.4,50,86430607,1
3,3,11,50,86430612,1
3,3,22,1,86430625,1
3,3,18.4,1060,86430648,1
3,2,17.6,150,86430650,1
3,2,14.6,110,86430652,1
3,2,9,270,86430654,1
3,3,21.8,40,86430657,1
3,2,15,410,86430660,1
3,2,19.4,300,86430663,1
3,2,12,350,86430666,1
3,2,21.2,10,86430672,1
3,2,11.2,180,86430676,1
3,2,23.2,140,86430694,0
3,2,14.4,30,86430700,1
3,1,13.6,40,86430701,1
3,1,13.6,520,86430702,0
3,1,9.8,490,86430703,1
3,2,19.9,30,86430707,0
3,1,17.6,30,86430715,0
3,1,13.6,70,86430717,0
3,1,15.8,270,86430722,1
3,1,13,280,86430730,1
3,1,19,30,86430733,1
3,1,14.8,100,86430748,0
3,1,15.8,120,86430753,1
3,1,16.2,40,86430757,0
3,1,16.4,30,86430760,0
3,1,17.4,270,86430767,0
1,4,26.2,203,91460378,0
1,4,24.8,99,91460389,1
1,3,14.4,398,91460395,1
1,3,9.8,135,91460402,1
1,3,17.8,655,91460408,1
1,3,28.6,38,91460410,0
1,2,20.6,68,91460417,1
1,2,13.8,2939,91460419,0
1,2,23.2,1093,91460420,0
1,2,21.8,33,91460422,1
1,2,28,45,91460423,1
1,1,16.6,14,91460437,1
1,1,16.2,28,91460440,1
1,1,25.6,55,91460441,1
1,1,15.8,572,91460447,0
1,1,14.6,30,111290528,1
2,3,16,90,112880404,1
2,3,30.1,674,118060004,1
2,3,22.6,707,118210056,1
3,2,23.6,70,127040509,1
3,2,19,140,138910515,1
2,1,14.7,55,318210451,1
2,5,36.3,614,318410388,0
2,6,26.9,20,318410405,0
2,6,26.8,405,318410411,1
2,5,17.3,672,318410501,1
2,5,38.9,83,318410502,1
2,4,30,1113,318410520,1
2,4,40.9,106,318410534,0
2,4,24.8,758,318410535,1
2,2,20.1,152,318410551,1
2,3,40.2,172,318410555,0
2,3,40.2,2069,318410557,1
2,2,23.4,135,318410558,1
2,2,32.7,34,318410569,0
2,2,22,156,318410580,1
2,3,36.5,463,318410581,1
2,2,29.1,352,318410588,1
2,2,30.9,147,318410589,0
2,2,22.8,264,318410596,1
2,2,37.3,356,318410624,1
2,2,32.5,56,318410627,1
2,1,29.3,29,318410628,1
2,1,26.3,179,318410629,1
2,1,37.7,87,318410634,1
2,1,20.2,187,318410636,0
2,1,27,27,318410637,1
2,1,28.3,81,318410640,1
2,1,29.6,25,318410642,1
2,1,33,88,318410643,1
2,1,32.7,66,318410652,0
2,5,33.6,27,318570379,0
2,4,23,364,318570420,0
2,4,33.2,145,318570429,1
8,6,14.8,2265,320150411,1
2,6,28.2,448,320150471,1
2,4,18.8,337,320150509,1
2,4,30.8,1134,320150519,1
2,4,28,87,320150529,1
2,4,29.4,290,320150550,1
2,3,6.4,677,320150558,1
2,3,27.6,975,320150567,1
2,3,28,32,320150584,0
2,3,31.6,132,320150586,1
2,2,15.8,130,320150592,1
2,3,18,370,320150595,1
2,2,16.2,257,320150596,1
2,3,32.2,40,320150597,1
2,3,22.8,0,320150604,0
2,2,20.8,800,320150605,0
2,2,26,516,320150606,0
2,2,18.2,223,320150616,0
2,2,24.4,114,320150617,1
2,2,21,730,320150623,1
2,1,16.4,58,320150631,1
2,1,19.8,595,320150635,1
2,1,14.6,236,320150637,1
2,2,19,62,320150638,1
2,2,24.2,445,320150639,0
2,1,21.8,99,320150663,1
2,1,16.8,231,320150665,0
2,1,9.7,75,320150666,0
2,1,13.8,47,320150667,0
2,1,14.8,383,320150668,1
2,2,24,184,320150669,1
2,1,7,426,320150670,0
2,1,19.8,99,320150671,1
2,1,14.8,129,320150672,1
2,1,18,2844,320150695,1
1,1,18.8,70,327011129,1
2,4,20.2,124,328390721,1
2,4,17.1,230,328390726,1
2,4,18.7,1063,328390730,0
2,4,21.9,63,328390734,1
2,3,11.7,414,328390735,0
2,3,27.2,1212,328390744,0
2,4,18.8,1483,328390746,0
2,3,22.6,171,328390749,1
2,3,14.2,458,328390750,0
2,2,5.8,1347,328390753,0
2,3,13.5,146,328390754,1
2,3,8.6,969,328390757,1
2,1,6.4,287,328390762,1
2,3,18.5,2259,328390766,1
2,2,7.1,271,328390773,1
8,3,21.4,151,328390778,1
2,4,14.3,1574,328390780,0
2,2,23,78,328390781,0
2,2,19.9,78,328390787,1
2,2,14.3,470,328390793,1
2,2,24.3,473,328390798,0
2,2,22.5,15,328390799,1
2,2,11.3,786,328390936,1
2,1,11.8,75,328390970,1
2,2,18,97,328390971,0
2,1,4.9,370,328390972,1
2,2,12.1,117,328390977,1
2,2,20.6,780,328390980,1
2,2,6.3,185,328391001,0
2,1,14.4,420,328391003,1
2,2,28.9,94,328391004,1
2,2,31.6,2557,328391006,1
2,2,22.6,119,328391008,1
8,1,19,50,328391012,1
8,1,14,51,328391013,0
2,1,12.6,77,328391014,1
2,1,14.3,3936,328391015,1
2,1,20.7,77,328391016,0
2,1,15.9,81,328391017,1
2,1,24,35,328391018,1
2,1,19.5,124,328391020,1
2,1,19,2726,328391021,1
2,1,18.6,14,328391024,1
2,1,16.6,501,328391027,1
2,1,16,30,328391029,1
2,1,22.3,170,328391030,0
2,1,20.5,49,328391032,0
2,1,21.8,45,328391033,0
2,1,10.1,113,328391034,0
