breed,parity,kgmilk,cellcount,cowid
8,3,11,1420,433690619
2,4,25,3250,433690620
2,3,24.6,370,433690644
2,2,18.4,100,433690646
2,3,30.8,100,433690653
2,2,10.2,290,433690657
2,2,16.4,70,433690662
2,2,24.6,520,433690674
2,2,23.2,80,433690681
2,2,25.4,450,433690682
2,3,24.8,790,433690687
8,2,16.8,40,433690695
2,2,21.2,510,433690698
2,2,21.4,590,433690712
8,2,21.6,20,433690714
8,2,18,2700,433690722
2,1,13.2,70,433690724
8,1,9,80,433690731
8,1,13.6,60,433690742
8,1,17.6,280,433690746
8,1,20.2,20,433690750
8,2,19.2,460,433690753
8,1,15.7,20,433690754
2,1,17.8,30,433690755
8,1,15.8,750,433690757
2,1,16.2,100,433690761
8,1,24.4,20,433690764
2,1,20.8,30,433690767
2,1,20.6,80,433690780
2,3,26,40,433690785
2,1,17.2,80,433690790
2,1,21.4,120,433690809
2,3,15,370,433690810
2,1,23.8,530,433690825
1,5,27.4,10,435170480
1,2,21.4,10,435170579
8,1,18.2,5300,439650705
2,8,34,1070,442440333
2,8,30.8,40,442440371
2,6,29.4,120,442440414
2,5,22,110,442440476
8,4,13.6,710,442440491
2,4,22.4,60,442440506
2,4,30,50,442440511
2,3,9.3,630,442440516
2,3,24.5,80,442440519
2,4,24,110,442440525
2,3,18.2,80,442440534
2,3,15.8,250,442440541
2,3,22.6,50,442440549
2,3,28.8,1090,442440551
2,3,23.4,110,442440552
2,3,21.2,160,442440557
2,2,13.8,230,442440558
2,3,39.1,90,442440561
2,3,25.6,40,442440564
2,2,13.3,240,442440567
2,2,19,480,442440576
8,2,24.6,50,442440579
2,2,27.2,120,442440587
2,2,21.7,40,442440592
2,2,21.4,40,442440596
2,1,13.9,150,442440622
8,1,21.4,30,442440624
2,1,19,160,442440625
2,1,9.9,170,442440626
2,1,21.2,80,442440627
2,1,19.7,40,442440629
2,1,23.2,40,442440630
2,1,18,110,442440631
8,1,25,40,442440632
2,1,23.6,10,442440633
2,1,20.8,90,442440634
2,1,23.6,10,442440635
2,1,20.4,100,442440637
2,1,19,60,442440638
1,1,14.4,550,442580524
1,2,19.2,70,451180055
2,7,27.4,1020,455260888
2,6,17.8,410,455260907
2,6,21.9,8100,455260932
2,6,18.9,720,455260982
2,5,18.7,530,455261056
2,5,9.1,1130,455261068
2,5,19.7,260,455261089
2,5,11.8,180,455261091
2,5,29.3,30,455261104
2,5,23.2,40,455261120
2,5,24.2,130,455261134
2,5,30.8,50,455261163
2,4,18.8,90,455261167
2,3,4.1,1680,455261170
2,5,43.1,50,455261171
2,4,32.6,30,455261198
2,4,19.5,3330,455261205
2,4,25.4,680,455261209
2,4,31.1,190,455261224
2,4,24.9,1670,455261237
2,4,29.4,2340,455261250
2,3,13.8,720,455261257
2,4,22.8,3930,455261261
2,3,24.8,350,455261293
8,4,23,130,455261322
8,3,24.7,450,455261325
2,3,26.4,410,455261343
8,3,10.9,130,455261344
8,3,22.1,160,455261358
2,3,25.8,30,455261361
8,3,25,140,455261363
2,3,20.8,60,455261367
8,3,28.6,540,455261376
8,3,27,40,455261378
8,3,25.8,30,455261381
8,2,20,260,455261383
2,3,21.3,620,455261385
8,3,22.1,1670,455261390
8,3,24,340,455261392
8,2,22.9,180,455261400
8,2,22.7,150,455261405
8,2,4.8,1620,455261406
8,3,22.7,1150,455261408
8,2,19.6,70,455261411
2,2,11.2,150,455261414
8,2,21.8,770,455261415
8,3,26.9,90,455261419
8,2,19.4,140,455261422
8,3,24.8,60,455261426
8,2,20,70,455261428
8,2,25.9,70,455261435
8,2,28.1,20,455261441
8,2,27.2,20,455261442
8,2,17.9,20,455261444
8,2,17.5,30,455261445
8,2,15.4,1000,455261446
8,2,31.3,10,455261448
8,2,29.8,460,455261449
8,2,24.7,70,455261452
8,2,13.4,610,455261454
8,2,18.4,50,455261457
8,2,20.7,200,455261458
8,2,22.5,60,455261464
8,2,19,1790,455261473
8,2,25.7,70,455261477
8,2,18.8,3370,455261480
8,2,26.6,1060,455261483
8,2,26.7,50,455261484
8,2,23.5,950,455261486
8,1,7.5,490,455261492
8,2,28.7,50,455261501
8,2,28.2,80,455261508
8,2,27.5,400,455261509
8,2,17.7,200,455261512
8,2,23,120,455261515
8,2,25,20,455261518
8,1,20.9,10,455261522
8,1,17,40,455261525
8,1,21.7,10,455261526
8,2,26.2,30,455261528
8,1,16.4,50,455261537
8,1,17.2,240,455261539
8,2,19.4,130,455261541
8,1,17.4,120,455261547
8,1,11.5,170,455261548
8,1,15.6,90,455261557
8,1,7.5,40,455261564
8,1,14.1,30,455261569
8,1,17.3,270,455261571
8,1,21.1,170,455261572
8,1,14.2,20,455261579
8,1,22.8,10,455261580
8,1,15.4,30,455261586
8,1,21.9,50,455261599
8,1,24,30,455261603
8,1,15.2,250,455261611
8,1,24.4,70,455261612
8,1,22.3,220,455261616
8,1,11.5,90,455261618
8,1,24.2,30,455261622
8,1,21.4,40,455261623
8,1,20.8,10,455261624
8,1,16.4,150,455261628
8,1,25.4,70,455261632
8,1,28.2,40,455261639
2,1,18,360,455261642
8,1,16.2,30,455261645
8,1,22.2,20,455261646
8,1,19.7,0,455261647
8,1,23.1,0,455261650
2,5,26,640,25930370
1,4,21.8,550,25930381
2,5,22.6,130,57840463
2,4,4.6,1520,57840469
8,3,20.4,350,57840496
2,3,16.8,90,57840499
2,4,14,320,57840503
2,4,8.6,420,57840504
2,4,6.6,570,57840506
2,4,16.8,90,57840517
2,4,23.2,120,57840518
2,3,18.8,220,57840551
2,3,12.6,420,57840554
2,3,29,120,57840574
2,2,13,290,57840578
2,2,16.6,630,57840580
8,2,14.2,240,57840586
2,2,14.8,330,57840590
2,2,18.6,120,57840597
2,2,22.4,130,57840599
2,1,8.4,220,57840604
2,2,26.6,110,57840611
2,2,20.6,90,57840612
2,2,20.6,430,57840614
8,2,22.8,240,57840617
2,1,18.2,60,57840620
2,1,17,100,57840628
2,2,21,190,57840629
2,1,24.2,2810,57840632
2,2,22.6,70,57840636
2,2,22.2,60,57840637
2,1,14.4,30,57840643
2,1,19.4,160,57840644
2,1,25.6,110,57840645
2,1,14.2,2050,57840646
2,1,21,60,57840647
2,1,19.6,230,57840648
2,1,20.4,50,57840652
2,1,20.6,40,57840668
2,1,25.4,440,57840672
2,1,24.6,100,57840678
2,1,22.4,20,57840681
2,1,19,50,57840682
2,1,17,310,57840696
3,4,19.6,100,58650404
3,4,17.4,1400,58650405
3,4,17.4,360,58650420
3,2,17.6,80,58650477
8,6,20.6,850,59520810
8,5,23.2,150,59520903
8,4,16,550,59520966
8,4,26.8,450,59520971
8,4,16.4,140,59520972
8,4,16.4,540,59520984
8,4,23.4,90,59520995
8,3,16,570,59520998
8,3,32.4,130,59521009
8,4,31,310,59521012
1,4,17.6,460,59521027
8,4,27,270,59521046
8,3,20.4,130,59521049
1,3,30.8,130,59521050
8,3,12.8,1010,59521063
1,3,18.8,330,59521078
8,2,23.8,140,59521079
8,3,19.4,180,59521081
8,3,28.4,1680,59521082
8,3,34.8,40,59521085
1,3,26,140,59521090
8,1,16.2,440,59521103
8,2,19.6,230,59521108
8,2,22,410,59521129
8,2,25.4,30,59521130
1,1,19.4,90,59521135
8,1,14,70,59521136
8,2,30,80,59521141
1,2,27,20,59521142
1,2,20.4,130,59521145
2,5,32.8,270,59521146
2,2,19.6,150,59521147
8,1,14.2,130,59521148
1,2,25.6,260,59521153
8,2,17.4,3830,59521154
8,1,14.2,120,59521201
1,1,20.6,200,59521202
1,2,26,110,59521203
1,2,30.8,60,59521204
8,2,24.8,510,59521205
8,1,17.8,170,59521206
8,2,23.4,100,59521207
1,2,24.8,40,59521208
8,1,18.2,200,59521209
8,2,25.5,230,59521211
8,1,20.4,30,59521212
8,1,15,50,59521214
8,1,19,80,59521215
1,1,10.6,50,59521216
8,1,17.8,20,59521217
8,1,15.4,150,59521218
8,1,18.9,20,59521222
8,1,18.4,50,59521223
1,1,15.2,180,59521224
8,1,19.8,250,59521227
8,1,22.2,30,59521228
8,1,18.6,80,59521229
8,1,24.2,60,59521231
8,1,23.8,20,59521233
8,1,18.2,90,59521234
8,1,22,40,59521235
8,1,23.4,50,59521236
1,1,18,80,59521237
8,1,19.4,10,59521238
8,1,22.8,70,59521239
1,1,17.8,50,59521240
1,1,19.4,40,59521241
8,1,19.4,300,59521242
8,1,19,60,59521245
8,1,24.2,10,59521256
8,1,16.6,330,59521263
8,1,23,130,59521265
8,1,15,150,59521274
3,6,14.2,90,60090367
3,4,18.4,200,60090424
3,3,6.8,30,60090450
3,3,17.8,960,60090453
3,3,13.6,4070,60090468
3,3,19.2,200,60090474
3,2,11.8,120,60090485
3,2,6.4,590,60090491
3,2,14.4,100,60090492
3,2,15.8,20,60090522
3,1,15.2,320,60090527
1,1,18.6,100,60090563
1,1,23.6,10,61870529
1,1,20.4,60,61870563
3,6,14.8,180,62950341
3,5,26,300,62950356
1,7,19,560,67360343
1,4,10.2,150,67360354
1,6,20.6,600,67360361
1,5,13.4,1330,67360362
1,4,11.2,2600,67360371
1,4,4.4,520,67360373
1,4,12.6,80,67360375
1,3,8.2,250,67360386
1,3,4.8,420,67360387
1,4,19.8,1560,67360394
1,3,6.6,390,67360395
1,2,17,190,67360464
1,2,12.8,160,67360465
1,2,11,380,67360475
1,2,12,390,67360477
1,1,7.4,80,67360501
1,1,10.8,290,67360502
1,1,13,120,67360503
1,1,12.8,70,67360504
1,2,3.2,420,67360505
1,1,6.8,380,67360507
1,1,11.8,140,67360508
1,1,10.4,180,67360509
1,1,10.6,600,67360510
1,4,29.2,240,69270359
3,2,18,70,70770377
3,2,20,210,70770396
3,3,15.4,50,79160381
3,8,16.2,290,81870316
3,6,13.8,190,86430401
3,5,18.6,90,86430445
3,5,11.8,80,86430455
3,6,25.2,10,86430464
3,4,15.6,70,86430485
3,4,14.6,50,86430493
3,4,15.4,50,86430500
3,4,18,20,86430509
3,4,20.8,30,86430520
3,4,21.5,320,86430531
3,3,16.4,820,86430538
3,4,30.2,460,86430539
3,4,18,10,86430544
3,4,19.2,100,86430548
3,3,15.2,20,86430580
3,3,19,60,86430583
3,3,9.6,290,86430588
3,3,18.4,580,86430590
3,3,15,20,86430594
3,3,18.8,1,86430598
3,3,18.8,230,86430603
3,3,15.4,50,86430607
3,3,11,50,86430612
3,3,22,1,86430625
3,3,18.4,1060,86430648
3,2,17.6,150,86430650
3,2,14.6,110,86430652
3,2,9,270,86430654
3,3,21.8,40,86430657
3,2,15,410,86430660
3,2,19.4,300,86430663
3,2,12,350,86430666
3,2,21.2,10,86430672
3,2,11.2,180,86430676
3,2,23.2,140,86430694
3,2,14.4,30,86430700
3,1,13.6,40,86430701
3,1,13.6,520,86430702
3,1,9.8,490,86430703
3,2,19.9,30,86430707
3,1,17.6,30,86430715
3,1,13.6,70,86430717
3,1,15.8,270,86430722
3,1,13,280,86430730
3,1,19,30,86430733
3,1,14.8,100,86430748
3,1,15.8,120,86430753
3,1,16.2,40,86430757
3,1,16.4,30,86430760
3,1,17.4,270,86430767
3,8,14.6,421,92040558
8,7,20.4,123,92040639
8,5,21.8,963,92040769
8,5,30.6,255,92040786
8,4,15.4,915,92040792
8,5,23.6,107,92040795
8,4,24,436,92040799
8,5,28.2,728,92040801
8,5,16,660,92040819
8,4,28.2,922,92040826
8,4,23,1242,92040839
8,4,23.4,5812,92040848
3,4,18,2357,92040855
3,4,16.4,340,92040859
3,3,11,462,92040863
8,4,27,59,92040865
8,3,20.8,105,92040882
8,3,16.2,137,92040893
8,3,28,64,92040931
3,3,11.2,24,92040941
8,3,25,200,92040947
3,2,5,930,92040955
8,2,23.2,34,92040957
3,2,14.4,28,92040977
8,2,28,50,92040983
3,2,13.4,512,92040985
8,2,11,1753,92040991
3,2,18.2,62,92040997
8,2,19.4,910,92040998
3,2,21.8,88,92041001
3,2,18.4,835,92041005
8,1,13.4,91,92041012
8,2,26.8,93,92041015
8,2,19.6,24,92041016
8,2,16.2,22,92041017
8,2,26,106,92041024
8,2,21.2,10,92041025
8,1,17,44,92041027
8,2,15.8,40,92041033
8,1,13.2,136,92041043
8,1,16.6,203,92041045
8,1,14.2,40,92041049
8,1,16.4,76,92041052
3,1,13.2,36,92041054
8,1,15.2,6195,92041057
3,1,12.6,138,92041059
8,1,20.2,450,92041062
3,1,14.8,20,92041063
8,1,22,22,92041064
3,1,17.2,137,92041066
3,1,9.6,44,92041069
8,1,17,567,92041070
3,1,14,31,92041074
3,1,13.3,529,92041076
8,1,18.4,45,92041082
8,1,20.6,504,92041085
8,1,16.8,32,92041086
3,1,16.8,15,92041093
8,1,17.2,29,92041098
8,1,21.6,50,92041099
2,6,24.4,250,92900442
2,2,26.6,203,103960619
2,7,29.8,2708,112580333
2,5,32.4,873,112580421
2,5,12,173,112580431
2,4,30,459,112580502
2,4,34.4,202,112580511
2,4,30,352,112580526
8,3,38.8,947,112580540
2,3,26,186,112580548
2,3,30,73,112580553
8,3,28.2,171,112580554
2,3,40.6,46,112580559
2,3,28,119,112580561
2,3,31.6,944,112580564
2,2,14.2,155,112580572
2,3,22.6,167,112580578
2,2,14.8,175,112580582
1,2,19,261,112580585
2,3,28,190,112580592
2,3,22.8,3418,112580595
2,2,9.6,1613,112580597
2,3,32.8,240,112580599
2,2,21.8,544,112580687
2,2,19.8,193,112580688
2,2,21.8,696,112580689
2,2,13.2,312,112580703
2,2,30.4,262,112580706
2,2,18.8,155,112580707
2,2,32,438,112580708
2,2,14.6,184,112580709
2,2,31.2,536,112580710
2,2,26.8,67,112580711
2,2,22.2,108,112580712
2,1,20,190,112580766
8,1,17,33,112580767
2,1,20.4,2001,112580768
2,2,19,164,112580769
2,2,28.8,188,112580770
2,1,22.8,768,112580775
2,1,21.6,27,112580777
2,1,17.6,499,112580778
2,2,18.8,456,112580780
2,1,22.6,131,112580825
2,1,6,7977,112580828
2,1,16.4,154,112580830
2,1,23,189,112580834
2,1,25.4,62,112580835
2,1,24.4,330,112580838
2,1,24.6,43,112580842
2,1,29.2,39,112580843
2,1,23.6,162,112580845
2,1,25.3,60,112580847
8,1,21.6,703,112580848
2,1,21,37,112580849
2,1,24.8,19,112580850
2,1,17.8,467,112580851
8,1,28,160,112580854
2,1,21.6,47,112580856
2,1,12.8,221,112580857
2,1,30.8,79,112580859
8,1,27.8,269,112580862
2,1,8.8,132,112580863
2,1,18.7,170,112580864
2,1,28.6,98,112580878
2,1,28.4,119,112580880
2,2,17.2,152,112581006
2,1,12.1,480,113850785
2,1,21.6,52,117560061
8,5,27.2,154,117880586
8,4,12.6,305,117880621
8,4,18.6,364,117880635
8,4,22.8,49,117880639
8,4,24.4,81,117880643
8,4,22.6,3203,117880656
8,4,29,105,117880662
8,3,31.7,17,117880682
8,3,21.8,85,117880688
8,3,16,326,117880689
8,3,25.6,28,117880691
8,3,25.4,84,117880701
8,3,25.8,38,117880717
8,3,25,48,117880733
8,2,11.1,260,117880743
8,2,20.5,99,117880746
8,2,19.7,138,117880756
8,2,22.8,164,117880759
8,2,24.6,35,117880761
8,2,15.6,1698,117880762
8,2,12.5,110,117880763
8,2,22,23,117880764
8,2,24.9,37,117880765
8,2,26.6,20,117880774
8,2,23.5,21,117880779
8,1,6,185,117880780
8,2,27,126,117880783
8,1,16.8,257,117880792
8,1,15,27,117880795
8,1,18.6,69,117880796
8,1,15.1,377,117880799
8,1,17.2,125,117880804
8,1,16.5,162,117880808
8,1,14,44,117880811
8,1,19.8,37,117880814
8,1,20.2,31,117880816
8,1,18.4,37,117880817
8,1,16.7,20,117880820
8,1,19,63,117880832
8,1,17.6,1105,117880833
2,1,21,132,129990040
8,5,29.2,110,143030722
2,2,21.4,120,162420049
2,2,15,150,162420050
8,3,21,293,214080438
2,3,25.6,1878,222510873
2,3,33.8,44,223130107
2,3,21.4,88,265350815
8,3,22,317,292870819
2,6,35,290,293390424
2,3,22,295,294220487
2,2,22.4,60,303620653
2,1,21.6,20,316200527
2,2,20.3,108,318630045
2,6,21.5,1999,323720483
2,5,29.5,310,323720536
2,5,35.1,160,323720561
2,4,26.2,199,323720581
2,3,25.8,560,323720584
2,3,25.4,370,323720604
2,3,17.4,49,323720617
2,3,21.6,892,323720618
2,3,38.3,1128,323720629
2,3,34.7,848,323720633
2,3,33,121,323720634
2,2,29.2,228,323720638
2,2,24.2,144,323720658
2,1,16.3,1051,323720659
2,2,24.4,841,323720662
2,2,25.3,670,323720663
2,2,26.2,50,323720667
8,2,19,4247,323720668
2,2,28.4,64,323720703
2,1,7.1,483,323720705
2,2,25.2,42,323720706
2,1,19.2,36,323720711
2,1,23.2,327,323720712
